species_code,stratum,hauljoin,vessel,cruise,sex,length,age,year
10115,62,-4553,94,200801,1,630,12,2008
10115,62,-4553,94,200801,1,500,8,2008
10115,62,-4553,94,200801,1,490,6,2008
10115,62,-4553,94,200801,1,560,9,2008
10115,62,-4553,94,200801,1,730,23,2008
10115,62,-4553,94,200801,1,590,10,2008
30060,61,-4552,94,200801,1,360,12,2008
30060,61,-4552,94,200801,1,340,14,2008
30060,61,-4552,94,200801,1,370,17,2008
30060,61,-4552,94,200801,1,260,6,2008
30060,61,-4552,94,200801,2,340,11,2008
30060,61,-4552,94,200801,1,220,5,2008
30060,61,-4552,94,200801,2,360,16,2008
30060,61,-4552,94,200801,2,380,15,2008
30060,61,-4552,94,200801,2,350,13,2008
30060,61,-4552,94,200801,2,390,16,2008
10115,61,-4552,94,200801,2,680,11,2008
10115,61,-4552,94,200801,2,480,8,2008
10115,61,-4552,94,200801,2,540,9,2008
10115,61,-4552,94,200801,2,580,8,2008
10115,61,-4552,94,200801,2,600,8,2008
10115,61,-4552,94,200801,2,660,10,2008
10115,61,-4552,94,200801,2,550,9,2008
10115,61,-4552,94,200801,2,520,7,2008
10115,61,-4552,94,200801,2,640,10,2008
10115,61,-4552,94,200801,2,530,7,2008
10115,61,-4552,94,200801,2,650,9,2008
10115,61,-4552,94,200801,2,770,14,2008
10115,61,-4552,94,200801,2,660,13,2008
10115,61,-4552,94,200801,2,590,8,2008
10115,61,-4552,94,200801,2,510,8,2008
10115,61,-4552,94,200801,1,680,16,2008
10115,61,-4552,94,200801,1,660,13,2008
10115,61,-4552,94,200801,1,580,9,2008
10115,61,-4552,94,200801,1,720,10,2008
10115,61,-4552,94,200801,1,700,14,2008
10115,61,-4552,94,200801,1,670,28,2008
10115,61,-4552,94,200801,1,750,24,2008
10115,61,-4552,94,200801,1,610,10,2008
10115,61,-4552,94,200801,1,650,11,2008
10115,61,-4552,94,200801,1,630,12,2008
10115,61,-4552,94,200801,1,690,NA,2008
10115,61,-4552,94,200801,1,710,18,2008
10115,61,-4552,94,200801,1,620,13,2008
10115,61,-4552,94,200801,1,530,8,2008
10115,61,-4552,94,200801,1,590,10,2008
10115,61,-4552,94,200801,1,550,NA,2008
10115,61,-4552,94,200801,1,460,NA,2008
10115,61,-4552,94,200801,1,640,10,2008
10115,61,-4552,94,200801,1,500,NA,2008
10115,61,-4552,94,200801,1,560,10,2008
10115,61,-4552,94,200801,1,510,7,2008
10115,61,-4552,94,200801,1,470,NA,2008
10115,61,-4552,94,200801,1,540,8,2008
30060,61,-4554,94,200801,2,210,5,2008
30060,61,-4554,94,200801,1,370,12,2008
30060,61,-4554,94,200801,1,250,5,2008
30060,61,-4554,94,200801,1,240,6,2008
10115,63,-4557,94,200801,2,790,NA,2008
10115,62,-4558,94,200801,1,680,21,2008
10115,62,-4558,94,200801,1,550,8,2008
10115,62,-4558,94,200801,1,610,9,2008
10115,62,-4558,94,200801,1,620,10,2008
10115,62,-4558,94,200801,1,630,12,2008
10115,62,-4558,94,200801,2,670,9,2008
10115,62,-4558,94,200801,2,710,9,2008
10115,62,-4558,94,200801,2,770,12,2008
10115,61,-4559,94,200801,2,690,9,2008
