year,species_code,length,males,females,unsexed
2018,10112,440,824542,820173,16548
2019,10112,440,974553,670850,0
2021,10112,440,672045,728215,17758
2017,10112,450,1324129,1906045,0
2018,10112,450,714887,677022,0
2019,10112,450,445500,1086393,0
2021,10112,450,580586,772639,0
2017,10112,460,573429,1304545,0
2018,10112,460,921389,1116575,0
2019,10112,460,433413,855749,0
2021,10112,460,409195,902814,0
2017,10112,470,452312,1427125,0
2018,10112,470,819037,1205754,0
2019,10112,470,601604,865710,0
2021,10112,470,449797,970631,55401
2017,10112,480,282562,644676,0
2018,10112,480,358292,806503,0
2019,10112,480,339627,512699,0
2021,10112,480,405471,663537,0
2017,10112,490,305440,861830,0
2018,10112,490,444769,771763,33097
2019,10112,490,374126,563251,0
2021,10112,490,154297,361905,18821
2017,10112,500,610232,538685,0
2018,10112,500,222910,798150,0
2019,10112,500,192296,852542,0
2021,10112,500,114418,532337,0
2017,10112,510,242806,686013,0
2018,10112,510,251966,517646,0
2019,10112,510,149410,814258,0
2021,10112,510,116165,558754,18821
2017,10112,520,306535,417268,0
2018,10112,520,214816,615123,0
2019,10112,520,191385,667119,0
2021,10112,520,152667,231795,0
2017,10112,530,399818,136246,0
2018,10112,530,19770,204158,0
2019,10112,530,406650,399026,0
2021,10112,530,167207,404870,36579
2017,10112,540,68759,269618,0
2018,10112,540,122146,205776,0
2019,10112,540,326358,576258,0
2021,10112,540,149292,227470,18821
2017,10112,550,19673,187952,0
2018,10112,550,59207,194157,0
2019,10112,550,165848,269214,0
2021,10112,550,58593,108106,0
2017,10112,560,27217,89990,0
2018,10112,560,114051,72334,0
2019,10112,560,157097,113798,0
2021,10112,560,58511,257143,0
2017,10112,570,30370,219556,0
2018,10112,570,64665,390408,0
2019,10112,570,52132,259278,0
2021,10112,570,46762,110210,0
2017,10112,580,0,174659,0
2018,10112,580,99021,255009,0
2019,10112,580,28276,146566,0
2021,10112,580,88466,187658,0
2017,10112,590,0,90404,0
2018,10112,590,26609,119426,0
2019,10112,590,0,341591,0
2021,10112,590,0,173363,0
2017,10112,600,0,182763,0
2018,10112,600,0,288687,0
2019,10112,600,0,280504,0
2021,10112,600,55682,401818,0
2017,10112,610,30370,138603,0
2018,10112,610,0,246049,16548
2019,10112,610,0,178225,0
2021,10112,610,0,48668,0
2017,10112,620,0,0,0
2018,10112,620,31121,227267,0
2019,10112,620,0,114424,0
2021,10112,620,0,191793,0
2017,10112,630,30571,67574,0
2018,10112,630,0,51691,33097
2019,10112,630,0,213517,0
2021,10112,630,0,36920,0
2017,10112,640,0,265378,0
2018,10112,640,0,171088,16548
2019,10112,640,61038,26861,0
2021,10112,640,0,314457,0
2017,10112,650,0,86548,0
2018,10112,650,0,74052,16548
2019,10112,650,29314,319937,0
2021,10112,650,0,189068,17758
2017,10112,660,0,263557,0
2018,10112,660,0,97508,16548
2019,10112,660,0,36494,0
2021,10112,660,0,118219,0
