year,length,species_code,males,females,unsexed,region
2015,310,10262,143586,590554,0,E
2015,320,10262,17565,411022,0,E
2015,330,10262,79194,1179022,0,E
2015,340,10261,0,0,0,E
2015,340,10262,41277,368886,0,E
2015,350,10261,0,0,0,E
2015,350,10262,0,623879,0,E
2015,360,10262,31398,31676,0,E
2015,370,10262,31146,560388,0,E
2015,380,10262,0,130972,0,E
2015,390,10262,0,195134,0,E
2015,400,10262,0,106761,0,E
2015,410,10262,0,64079,0,E
2015,420,10262,0,180327,0,E
2015,430,10262,0,210230,0,E
2015,440,10262,0,0,0,E
2015,450,10262,0,0,0,E
2015,460,10261,0,0,0,E
2015,460,10262,0,0,0,E
2015,470,10262,0,31146,0,E
2015,480,10262,0,80469,0,E
2015,490,10262,0,40234,0,E
2015,500,10262,0,0,0,E
2015,510,10262,0,31146,0,E
2015,520,10262,0,40234,0,E
2015,530,10262,0,0,0,E
2015,540,10262,0,0,0,E
2015,550,10262,0,0,0,E
2015,570,10262,0,0,0,E
2017,100,10262,0,0,0,E
2017,130,10262,0,0,0,E
2017,140,10262,0,0,0,E
2017,150,10262,0,0,0,E
2017,160,10262,0,0,0,E
2017,170,10262,0,0,0,E
2017,180,10262,690344,0,0,E
2017,190,10262,489282,0,0,E
2017,200,10262,887660,398378,0,E
2017,210,10262,409246,978564,0,E
2017,220,10262,477818,1141658,0,E
2017,230,10262,988418,566708,0,E
2017,240,10262,1142075,1012786,0,E
2017,250,10262,608102,986157,0,E
2017,260,10262,562461,197316,0,E
2017,270,10262,947351,727650,0,E
2017,280,10262,460376,121428,0,E
2017,290,10262,891516,547984,0,E
2017,300,10262,361555,1056506,0,E
2017,310,10262,211529,823165,0,E
2017,320,10262,119414,1271824,0,E
2017,330,10262,114305,1309003,0,E
2017,340,10262,0,763332,0,E
2017,350,10262,0,694353,0,E
2017,360,10262,0,192057,0,E
2017,370,10262,163094,777393,0,E
2017,380,10262,37968,657478,0,E
2017,390,10262,19185,512709,0,E
2017,400,10262,0,404084,0,E
2017,410,10262,0,144887,0,E
2017,420,10262,0,130249,0,E
2017,430,10262,0,78490,0,E
2017,440,10262,0,163094,0,E
2017,450,10262,0,74872,0,E
2017,460,10262,0,37848,0,E
2017,470,10262,0,134965,0,E
2017,480,10262,0,56684,0,E
2017,490,10262,0,0,0,E
2017,500,10262,0,0,0,E
2017,510,10262,0,42536,0,E
2017,520,10262,0,0,0,E
2017,530,10262,0,0,0,E
2017,540,10262,0,0,0,E
2017,550,10262,0,0,0,E
2017,570,10262,0,0,0,E
2019,100,10262,0,0,0,E
2019,130,10262,0,0,0,E
2019,140,10262,39967,37117,0,E
2019,150,10262,118279,39967,0,E
2019,160,10262,77698,0,0,E
2019,170,10262,121743,118097,0,E
2019,180,10262,195364,81162,0,E
2019,190,10262,118279,76745,0,E
2019,200,10262,139510,37117,0,E
2019,210,10262,238951,148470,0,E
2019,220,10262,192514,83809,0,E
2019,230,10262,243028,198984,0,E
2019,240,10262,281724,162481,0,E
2019,250,10262,299777,122514,0,E
2019,260,10262,383711,167330,0,E
2019,270,10262,508303,181509,0,E
2019,280,10262,309476,212145,0,E
2019,290,10262,353479,300392,0,E
2019,300,10262,207911,334558,0,E
2019,310,10262,159194,362804,0,E
2019,320,10262,40581,528706,0,E
2019,330,10262,106810,585257,0,E
2019,340,10262,25648,412051,0,E
2019,350,10262,46692,381977,0,E
2019,360,10262,0,511751,0,E
2019,370,10262,0,160803,0,E
2019,380,10262,0,218684,0,E
2019,390,10262,0,297827,0,E
2019,400,10262,0,310902,0,E
2019,410,10262,0,266668,0,E
2019,420,10262,0,87273,0,E
2019,430,10262,0,96423,0,E
2019,440,10262,0,140075,0,E
2019,450,10262,0,49731,0,E
2019,460,10262,0,37117,0,E
2019,470,10262,0,89698,0,E
2019,480,10262,0,49731,0,E
